Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-12-08 04:32:16;1715;5387;98;Kein Fehler erkannt;1.30;180;1.48;;;;;;;;
2018-12-08 05:32:24;1714;5384;99;Kein Fehler erkannt;0.94;180;1.48;;;;;;;;
2018-12-08 06:32:32;1709;5368;100;Kein Fehler erkannt;0.00;180;1.48;;;;;;;;
2018-12-08 07:32:40;1711;5375;98;Kein Fehler erkannt;1.52;180;1.48;;;;;;;;
2018-12-08 08:32:49;1699;5337;99;Kein Fehler erkannt;0.62;180;1.48;;;;;;;;
2018-12-08 09:32:57;1700;5340;100;Kein Fehler erkannt;0.00;180;1.48;;;;;;;;
2018-12-08 10:33:05;1700;5340;100;Kein Fehler erkannt;0.00;180;1.48;;;;;;;;
2018-12-08 11:33:13;1697;5331;100;Kein Fehler erkannt;0.00;180;1.48;;;;;;;;
2018-12-08 12:33:21;1699;5337;99;Kein Fehler erkannt;0.75;180;1.77;;;;;;;;
2018-12-08 13:33:30;1701;5343;100;Kein Fehler erkannt;0.00;180;1.77;;;;;;;;
2018-12-08 14:33:38;1719;5400;98;Kein Fehler erkannt;1.09;180;2.07;;;;;;;;
2018-12-08 15:33:46;1720;5403;100;Kein Fehler erkannt;0.00;180;2.36;;;;;;;;
2018-12-08 16:33:55;1720;5403;100;Kein Fehler erkannt;0.00;180;2.36;;;;;;;;
2018-12-08 17:34:02;1720;5403;100;Kein Fehler erkannt;0.00;180;2.36;;;;;;;;
2018-12-08 18:34:11;1719;5400;96;Kein Fehler erkannt;3.77;180;2.36;;;;;;;;
2018-12-08 19:34:20;1719;5400;99;Kein Fehler erkannt;0.62;180;2.36;;;;;;;;
2018-12-08 20:34:27;1714;5384;100;Kein Fehler erkannt;0.00;180;0.89;;;;;;;;
2018-12-08 21:34:36;1713;5381;98;Kein Fehler erkannt;1.49;180;0.89;;;;;;;;
2018-12-08 22:34:44;1715;5387;98;Kein Fehler erkannt;1.15;180;0.89;;;;;;;;
2018-12-08 23:34:52;1719;5400;98;Kein Fehler erkannt;1.21;180;0.89;;;;;;;;
2018-12-09 00:35:01;1751;5500;95;Kein Fehler erkannt;5.09;180;2.07;0;100;97;0;OK;;;
2018-12-09 01:35:09;1759;5526;98;Kein Fehler erkannt;2.04;180;2.07;;;;;;;;
2018-12-09 02:35:17;1760;5529;100;Kein Fehler erkannt;0.00;180;2.07;;;;;;;;
2018-12-09 03:35:25;1793;5632;100;Kein Fehler erkannt;0.00;180;2.95;;;;;;;;
2018-12-09 04:35:33;1793;5632;100;Kein Fehler erkannt;0.00;180;2.95;;;;;;;;
2018-12-09 05:35:42;1793;5632;100;Kein Fehler erkannt;0.00;180;2.95;;;;;;;;
2018-12-09 06:35:50;1804;5667;100;Kein Fehler erkannt;0.00;180;3.54;;;;;;;;
2018-12-09 07:34:45;1806;5673;98;Kein Fehler erkannt;1.15;180;3.54;;;;;;;;
2018-12-09 08:34:54;1806;5673;98;Kein Fehler erkannt;1.52;180;3.54;;;;;;;;
2018-12-09 09:35:02;1823;5727;100;Kein Fehler erkannt;0.00;180;4.13;;;;;;;;
2018-12-09 10:35:10;1818;5711;98;Kein Fehler erkannt;1.55;180;4.43;;;;;;;;
2018-12-09 11:35:18;1815;5702;98;Kein Fehler erkannt;1.34;180;4.13;;;;;;;;
2018-12-09 12:35:27;1803;5664;98;Kein Fehler erkannt;1.34;180;4.13;;;;;;;;
2018-12-09 13:35:35;1780;5592;95;Kein Fehler erkannt;4.64;180;3.84;;;;;;;;
2018-12-09 14:35:43;1819;5714;100;Kein Fehler erkannt;0.00;180;4.72;;;;;;;;
2018-12-09 15:35:52;1816;5705;98;Kein Fehler erkannt;1.54;180;5.31;;;;;;;;
