Log File;Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
180819_V10_1.csv;18.08.2018 16:28;433;1360;98;;1,56;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:29;433;1360;98;;1,38;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:30;433;1360;98;;1,44;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:30;433;1360;98;;1,41;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:31;429;1347;94;;6;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:32;428;1344;99;;0,62;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:33;428;1344;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:34;428;1344;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:35;427;1341;98;;1,09;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:35;427;1341;98;;1,38;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:36;427;1341;98;;1,49;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:37;427;1341;98;;1,09;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:38;427;1341;98;;1,56;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:39;427;1341;98;;1,49;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:40;427;1341;98;;1,26;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:41;427;1341;98;;1,55;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:41;427;1341;98;;1,38;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:42;427;1341;98;;1,49;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:43;427;1341;98;;1,56;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:44;426;1338;98;;1,26;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:45;427;1341;96;;3,94;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:46;428;1344;98;;1,57;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:46;426;1338;93;;7,12;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:47;423;1328;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:48;422;1325;99;;0,62;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:49;422;1325;98;;1,51;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:50;422;1325;98;;2,01;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:51;421;1322;98;;1,56;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:52;422;1325;95;;4,79;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:52;420;1319;93;;6,94;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:53;417;1310;98;;1,21;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:54;419;1316;98;;1,93;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:55;414;1300;98;;1,69;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:56;414;1300;95;;4,49;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:57;409;1284;98;;1,51;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:57;407;1278;98;;2,07;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:58;405;1272;98;;1,47;40;;;;;;;;
180819_V10_1.csv;18.08.2018 16:59;404;1269;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:00;404;1269;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:01;404;1269;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:02;404;1269;96;;3,18;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:02;402;1262;99;;0,75;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:03;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:04;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:05;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:06;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:07;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:08;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:08;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:09;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:10;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:11;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:12;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:13;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:13;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:14;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:15;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:16;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:17;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:18;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:18;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:19;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:20;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:21;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:22;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:23;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:23;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:24;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:25;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:26;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:27;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:28;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:29;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:29;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:30;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:31;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:32;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:33;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:34;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:34;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:35;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:36;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:37;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:38;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:39;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:39;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:40;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:41;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:42;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:43;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:44;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:44;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:45;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:46;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:47;402;1262;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:48;399;1253;98;;1,8;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:49;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:50;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:51;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:51;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:52;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:53;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:54;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:55;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:56;401;1259;93;;6,36;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:56;399;1253;94;;5,36;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:57;399;1253;95;;4,54;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:58;399;1253;95;;4,86;40;;;;;;;;
180819_V10_1.csv;18.08.2018 17:59;400;1256;93;;6,69;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:00;399;1253;96;;3,86;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:01;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:01;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:02;399;1253;98;;1,49;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:03;399;1253;99;;0,44;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:04;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:05;399;1253;97;;2,98;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:06;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:06;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:07;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:08;399;1253;95;;4,22;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:09;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:10;399;1253;96;;3,64;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:11;399;1253;98;;1,76;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:11;399;1253;97;;2,79;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:12;399;1253;97;;2,46;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:13;399;1253;95;;4,86;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:14;399;1253;100;;0;40;;;;;;;;
180819_V10_1.csv;18.08.2018 18:15;399;1253;94;;5,36;40;;;;;;;;
