Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
2018-11-28 07:50:36;362;1137;99;Kein Fehler erkannt;1.02;160;0.00;;;;;;;;
2018-11-28 08:50:45;362;1137;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 09:50:53;362;1137;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 10:51:01;362;1137;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 11:51:09;362;1137;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 12:51:18;362;1137;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 13:51:25;362;1137;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 14:51:34;362;1137;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 15:51:42;362;1137;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 16:51:50;360;1130;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 17:51:59;358;1124;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 18:52:06;358;1124;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 19:52:15;356;1118;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 20:52:24;356;1118;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 21:52:31;354;1112;99;Kein Fehler erkannt;0.77;160;0.00;;;;;;;;
2018-11-28 22:52:40;351;1102;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
2018-11-28 23:52:47;351;1102;100;Kein Fehler erkannt;0.00;160;0.00;;;;;;;;
