Log File;Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
181122_V310_2.csv;12.11.2018 04:08;393;1234;100;Kein Fehler erkannt;0;0;1,48;;;;;;;
181122_V310_2.csv;12.11.2018 05:08;393;1234;100;Kein Fehler erkannt;0;0;1,48;;;;;;;
181122_V310_2.csv;12.11.2018 06:08;389;1222;99;Kein Fehler erkannt;0,94;0;0,89;;;;;;;
181122_V310_2.csv;12.11.2018 07:09;389;1222;98;Kein Fehler erkannt;1,44;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 08:09;389;1222;98;Kein Fehler erkannt;1,15;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 09:09;389;1222;98;Kein Fehler erkannt;1,21;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 10:09;389;1222;98;Kein Fehler erkannt;1,09;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 11:09;389;1222;98;Kein Fehler erkannt;1,51;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 12:09;389;1222;98;Kein Fehler erkannt;1,55;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 13:09;389;1222;98;Kein Fehler erkannt;1,57;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 14:10;388;1218;99;Kein Fehler erkannt;0,62;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 15:10;388;1218;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 16:10;388;1218;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 17:10;388;1218;99;Kein Fehler erkannt;0,62;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 18:10;388;1218;99;Kein Fehler erkannt;0,85;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 19:10;388;1218;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 20:10;384;1206;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 21:10;384;1206;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 22:11;380;1193;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;12.11.2018 23:11;380;1193;93;Kein Fehler erkannt;7,07;0;0;;;;;;;
